strategy_name,term,entry_mode,reason,count
15D_close_midhold,15D,close,prev_close_vs_ipo_below_min,108
15D_close_midhold,15D,close,ipo_price_missing_for_prev_filter,75
15D_close_midhold,15D,close,daily_empty_symbol,14
15D_close_midhold,15D,close,entry_not_found,2
1M_close_midhold,1M,close,prev_close_vs_ipo_below_min,115
1M_close_midhold,1M,close,ipo_price_missing_for_prev_filter,75
1M_close_midhold,1M,close,daily_empty_symbol,14
1M_close_midhold,1M,close,entry_not_found,2
1Y_close_midhold,1Y,close,prev_close_vs_ipo_below_min,105
1Y_close_midhold,1Y,close,daily_empty_window,60
1Y_close_midhold,1Y,close,ipo_price_missing_for_prev_filter,59
1Y_close_midhold,1Y,close,exit_out_of_range,15
1Y_close_midhold,1Y,close,daily_empty_symbol,14
1Y_close_midhold,1Y,close,entry_not_found,7
3M_close_midhold,3M,close,prev_close_vs_ipo_below_min,126
3M_close_midhold,3M,close,ipo_price_missing_for_prev_filter,72
3M_close_midhold,3M,close,daily_empty_symbol,14
3M_close_midhold,3M,close,exit_out_of_range,8
3M_close_midhold,3M,close,entry_not_found,4
3M_close_midhold,3M,close,daily_empty_window,3
6M_close_midhold,6M,close,prev_close_vs_ipo_below_min,113
6M_close_midhold,6M,close,ipo_price_missing_for_prev_filter,68
6M_close_midhold,6M,close,daily_empty_window,24
6M_close_midhold,6M,close,daily_empty_symbol,14
6M_close_midhold,6M,close,exit_out_of_range,10
6M_close_midhold,6M,close,entry_not_found,1
